IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_SEX,DIM_VALUE_TYPE,VALUE_NUMERIC,VALUE_NUMERIC_LOWER,VALUE_NUMERIC_UPPER,DIM_PUBLISH_STATE_CODE
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,428,Latvia,2001,YEAR,Total,RATE_PER_100000,13.3761,11.42882,15.57897,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,428,Latvia,2001,YEAR,Female,RATE_PER_100000,7.49636,6.26003,8.8871,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,428,Latvia,2001,YEAR,Male,RATE_PER_100000,20.2966,17.51253,23.45535,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,504,Morocco,2001,YEAR,Total,RATE_PER_100000,1.97959,1.23551,2.92769,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,504,Morocco,2001,YEAR,Female,RATE_PER_100000,0.88927,0.5311,1.38774,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,504,Morocco,2001,YEAR,Male,RATE_PER_100000,3.091,1.95354,4.49742,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,498,Republic of Moldova,2001,YEAR,Total,RATE_PER_100000,12.60676,10.84454,14.55523,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,498,Republic of Moldova,2001,YEAR,Female,RATE_PER_100000,7.297,6.13531,8.58969,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,498,Republic of Moldova,2001,YEAR,Male,RATE_PER_100000,18.38927,15.97306,21.05191,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,450,Madagascar,2001,YEAR,Total,RATE_PER_100000,9.55635,5.50505,15.15107,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,450,Madagascar,2001,YEAR,Female,RATE_PER_100000,4.66187,2.64326,7.6565,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,450,Madagascar,2001,YEAR,Male,RATE_PER_100000,14.49237,8.39112,22.70926,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,462,Maldives,2001,YEAR,Total,RATE_PER_100000,2.48903,1.41791,4.03701,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,462,Maldives,2001,YEAR,Female,RATE_PER_100000,1.09053,0.60896,1.8027,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,462,Maldives,2001,YEAR,Male,RATE_PER_100000,3.84221,2.20065,6.19889,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,484,Mexico,2001,YEAR,Total,RATE_PER_100000,10.70949,10.16724,11.26503,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,484,Mexico,2001,YEAR,Female,RATE_PER_100000,2.72384,2.50742,2.9516,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,484,Mexico,2001,YEAR,Male,RATE_PER_100000,19.00035,18.1198,19.89618,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,807,North Macedonia,2001,YEAR,Total,RATE_PER_100000,4.31582,3.12014,5.73274,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,807,North Macedonia,2001,YEAR,Female,RATE_PER_100000,1.11452,0.77655,1.54917,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,807,North Macedonia,2001,YEAR,Male,RATE_PER_100000,7.50796,5.45702,9.90433,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,466,Mali,2001,YEAR,Total,RATE_PER_100000,13.91092,5.97756,25.15413,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,466,Mali,2001,YEAR,Female,RATE_PER_100000,6.92704,3.29336,12.92245,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,466,Mali,2001,YEAR,Male,RATE_PER_100000,21.00073,8.70248,37.57133,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,470,Malta,2001,YEAR,Total,RATE_PER_100000,1.50717,1.19123,1.87099,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,470,Malta,2001,YEAR,Female,RATE_PER_100000,1.03993,0.82121,1.29358,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,470,Malta,2001,YEAR,Male,RATE_PER_100000,1.98161,1.56695,2.45729,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,104,Myanmar,2001,YEAR,Total,RATE_PER_100000,4.65756,3.18237,6.69674,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,104,Myanmar,2001,YEAR,Female,RATE_PER_100000,3.02726,1.95178,4.60112,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,104,Myanmar,2001,YEAR,Male,RATE_PER_100000,6.39464,4.49356,8.9296,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,499,Montenegro,2001,YEAR,Total,RATE_PER_100000,4.26222,2.94456,5.95303,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,499,Montenegro,2001,YEAR,Female,RATE_PER_100000,2.23798,1.54086,3.14666,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,499,Montenegro,2001,YEAR,Male,RATE_PER_100000,6.33607,4.38266,8.82819,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,496,Mongolia,2001,YEAR,Total,RATE_PER_100000,15.74054,9.70196,24.09223,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,496,Mongolia,2001,YEAR,Female,RATE_PER_100000,5.46744,3.02288,8.97043,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,496,Mongolia,2001,YEAR,Male,RATE_PER_100000,26.06346,16.41344,39.28735,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,508,Mozambique,2001,YEAR,Total,RATE_PER_100000,6.67097,4.38671,9.58905,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,508,Mozambique,2001,YEAR,Female,RATE_PER_100000,2.74778,1.6415,4.23417,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,508,Mozambique,2001,YEAR,Male,RATE_PER_100000,10.9447,7.3772,15.42237,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,478,Mauritania,2001,YEAR,Total,RATE_PER_100000,14.87638,7.22954,26.70035,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,478,Mauritania,2001,YEAR,Female,RATE_PER_100000,7.24127,3.61161,13.09338,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,478,Mauritania,2001,YEAR,Male,RATE_PER_100000,22.58569,10.88263,40.43955,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,480,Mauritius,2001,YEAR,Total,RATE_PER_100000,2.38494,1.85979,3.00925,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,480,Mauritius,2001,YEAR,Female,RATE_PER_100000,0.99744,0.75175,1.29526,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,480,Mauritius,2001,YEAR,Male,RATE_PER_100000,3.79689,2.98736,4.75344,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,454,Malawi,2001,YEAR,Total,RATE_PER_100000,7.06269,3.73364,12.38388,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,454,Malawi,2001,YEAR,Female,RATE_PER_100000,2.5405,1.2654,4.58736,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,454,Malawi,2001,YEAR,Male,RATE_PER_100000,11.7087,6.26946,20.39386,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,458,Malaysia,2001,YEAR,Total,RATE_PER_100000,3.12126,2.06667,4.54793,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,458,Malaysia,2001,YEAR,Female,RATE_PER_100000,1.42414,0.90726,2.15097,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,458,Malaysia,2001,YEAR,Male,RATE_PER_100000,4.75212,3.18082,6.85132,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,516,Namibia,2001,YEAR,Total,RATE_PER_100000,22.66039,13.24252,35.89644,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,516,Namibia,2001,YEAR,Female,RATE_PER_100000,10.44473,5.22577,18.66811,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,516,Namibia,2001,YEAR,Male,RATE_PER_100000,35.78032,21.85271,54.40009,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,562,Niger,2001,YEAR,Total,RATE_PER_100000,14.17977,5.81806,26.60582,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,562,Niger,2001,YEAR,Female,RATE_PER_100000,7.57971,3.33027,14.53479,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,562,Niger,2001,YEAR,Male,RATE_PER_100000,20.8884,8.34678,38.87544,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,566,Nigeria,2001,YEAR,Total,RATE_PER_100000,13.18578,8.98008,18.64998,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,566,Nigeria,2001,YEAR,Female,RATE_PER_100000,6.92257,4.54265,10.1417,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,566,Nigeria,2001,YEAR,Male,RATE_PER_100000,19.34216,13.34182,27.01313,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,558,Nicaragua,2001,YEAR,Total,RATE_PER_100000,12.19771,10.05925,14.99451,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,558,Nicaragua,2001,YEAR,Female,RATE_PER_100000,3.33488,2.59712,4.21932,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,558,Nicaragua,2001,YEAR,Male,RATE_PER_100000,21.2608,17.68997,26.01316,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,528,Netherlands (Kingdom of the),2001,YEAR,Total,RATE_PER_100000,1.28281,1.07064,1.52362,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,528,Netherlands (Kingdom of the),2001,YEAR,Female,RATE_PER_100000,0.87087,0.71103,1.05531,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,528,Netherlands (Kingdom of the),2001,YEAR,Male,RATE_PER_100000,1.7024,1.43694,2.00063,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,578,Norway,2001,YEAR,Total,RATE_PER_100000,0.76737,0.70713,0.8307,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,578,Norway,2001,YEAR,Female,RATE_PER_100000,0.58083,0.52932,0.63288,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,578,Norway,2001,YEAR,Male,RATE_PER_100000,0.9573,0.88818,1.03212,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,524,Nepal,2001,YEAR,Total,RATE_PER_100000,3.77636,2.40425,5.57254,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,524,Nepal,2001,YEAR,Female,RATE_PER_100000,1.88624,1.17235,2.8598,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,524,Nepal,2001,YEAR,Male,RATE_PER_100000,5.68843,3.65046,8.31678,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,554,New Zealand,2001,YEAR,Total,RATE_PER_100000,1.40677,1.19201,1.65055,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,554,New Zealand,2001,YEAR,Female,RATE_PER_100000,1.16265,0.98004,1.36697,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,554,New Zealand,2001,YEAR,Male,RATE_PER_100000,1.6604,1.41224,1.94517,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,512,Oman,2001,YEAR,Total,RATE_PER_100000,0.89559,0.50331,1.47706,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,512,Oman,2001,YEAR,Female,RATE_PER_100000,0.48417,0.26442,0.82992,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,512,Oman,2001,YEAR,Male,RATE_PER_100000,1.2213,0.69242,1.98936,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,586,Pakistan,2001,YEAR,Total,RATE_PER_100000,7.34749,4.08886,11.28904,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,586,Pakistan,2001,YEAR,Female,RATE_PER_100000,4.20585,2.58715,6.60263,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,586,Pakistan,2001,YEAR,Male,RATE_PER_100000,10.29337,5.49699,15.68342,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,591,Panama,2001,YEAR,Total,RATE_PER_100000,12.44547,10.90004,14.12423,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,591,Panama,2001,YEAR,Female,RATE_PER_100000,3.21927,2.58167,3.96616,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,591,Panama,2001,YEAR,Male,RATE_PER_100000,21.53253,19.09297,24.12911,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,604,Peru,2001,YEAR,Total,RATE_PER_100000,7.33245,5.67475,9.36539,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,604,Peru,2001,YEAR,Female,RATE_PER_100000,2.75329,2.04427,3.61909,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,604,Peru,2001,YEAR,Male,RATE_PER_100000,11.93834,9.32641,15.14523,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,608,Philippines,2001,YEAR,Total,RATE_PER_100000,21.57339,19.06567,24.31346,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,608,Philippines,2001,YEAR,Female,RATE_PER_100000,4.62534,4.00556,5.31839,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,608,Philippines,2001,YEAR,Male,RATE_PER_100000,38.29507,33.92461,43.0548,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,598,Papua New Guinea,2001,YEAR,Total,RATE_PER_100000,8.9824,5.39678,14.2468,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,598,Papua New Guinea,2001,YEAR,Female,RATE_PER_100000,4.23371,2.36348,7.23565,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,598,Papua New Guinea,2001,YEAR,Male,RATE_PER_100000,13.57484,8.33027,21.02727,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,616,Poland,2001,YEAR,Total,RATE_PER_100000,1.95548,1.83408,2.08064,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,616,Poland,2001,YEAR,Female,RATE_PER_100000,1.27201,1.18299,1.35887,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,616,Poland,2001,YEAR,Male,RATE_PER_100000,2.68058,2.52482,2.84637,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,408,Democratic People's Republic of Korea,2001,YEAR,Total,RATE_PER_100000,5.49635,2.54649,10.30217,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,408,Democratic People's Republic of Korea,2001,YEAR,Female,RATE_PER_100000,3.50388,1.68675,6.41524,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,408,Democratic People's Republic of Korea,2001,YEAR,Male,RATE_PER_100000,7.59034,3.45003,14.38712,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,620,Portugal,2001,YEAR,Total,RATE_PER_100000,1.55278,1.28556,1.84834,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,620,Portugal,2001,YEAR,Female,RATE_PER_100000,0.63966,0.52067,0.77823,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,620,Portugal,2001,YEAR,Male,RATE_PER_100000,2.53175,2.10561,2.99563,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,600,Paraguay,2001,YEAR,Total,RATE_PER_100000,25.65454,20.75353,31.24993,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,600,Paraguay,2001,YEAR,Female,RATE_PER_100000,5.3406,4.0992,6.90255,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,600,Paraguay,2001,YEAR,Male,RATE_PER_100000,45.37109,36.91809,54.88132,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,634,Qatar,2001,YEAR,Total,RATE_PER_100000,0.90416,0.5102,1.51897,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,634,Qatar,2001,YEAR,Female,RATE_PER_100000,0.42231,0.236,0.69775,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,634,Qatar,2001,YEAR,Male,RATE_PER_100000,1.16535,0.65883,1.96411,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,642,Romania,2001,YEAR,Total,RATE_PER_100000,3.61575,3.14053,4.12827,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,642,Romania,2001,YEAR,Female,RATE_PER_100000,1.81657,1.53904,2.1243,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,642,Romania,2001,YEAR,Male,RATE_PER_100000,5.49724,4.81529,6.22394,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,643,Russian Federation,2001,YEAR,Total,RATE_PER_100000,29.4364,28.7866,30.12,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,643,Russian Federation,2001,YEAR,Female,RATE_PER_100000,13.49215,13.1502,13.82329,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,643,Russian Federation,2001,YEAR,Male,RATE_PER_100000,47.60221,46.60167,48.68738,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,646,Rwanda,2001,YEAR,Total,RATE_PER_100000,6.65037,3.89188,10.61082,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,646,Rwanda,2001,YEAR,Female,RATE_PER_100000,3.57784,1.96507,5.95717,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,646,Rwanda,2001,YEAR,Male,RATE_PER_100000,9.86316,5.90666,15.47692,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,682,Saudi Arabia,2001,YEAR,Total,RATE_PER_100000,1.6629,1.06501,2.46235,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,682,Saudi Arabia,2001,YEAR,Female,RATE_PER_100000,1.6839,1.03543,2.60425,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,682,Saudi Arabia,2001,YEAR,Male,RATE_PER_100000,1.64541,1.08964,2.34418,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,729,Sudan,2001,YEAR,Total,RATE_PER_100000,7.78258,4.75641,12.68667,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,729,Sudan,2001,YEAR,Female,RATE_PER_100000,4.63652,2.48748,8.20515,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,729,Sudan,2001,YEAR,Male,RATE_PER_100000,10.90968,7.01168,17.14117,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,955,South-East Asia,2001,YEAR,Total,RATE_PER_100000,5.10012,3.99914,6.46083,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,955,South-East Asia,2001,YEAR,Female,RATE_PER_100000,2.83664,2.15577,3.70734,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,955,South-East Asia,2001,YEAR,Male,RATE_PER_100000,7.24279,5.74412,9.06737,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,686,Senegal,2001,YEAR,Total,RATE_PER_100000,10.13544,5.85061,16.35635,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,686,Senegal,2001,YEAR,Female,RATE_PER_100000,4.97562,2.56802,8.6132,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,686,Senegal,2001,YEAR,Male,RATE_PER_100000,15.49417,9.25974,24.398,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,702,Singapore,2001,YEAR,Total,RATE_PER_100000,1.35813,1.09212,1.65809,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,702,Singapore,2001,YEAR,Female,RATE_PER_100000,1.1868,0.9433,1.45977,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,702,Singapore,2001,YEAR,Male,RATE_PER_100000,1.5218,1.23429,1.84755,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,90,Solomon Islands,2001,YEAR,Total,RATE_PER_100000,5.93827,3.07037,10.1401,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,90,Solomon Islands,2001,YEAR,Female,RATE_PER_100000,3.02368,1.51196,5.32338,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,90,Solomon Islands,2001,YEAR,Male,RATE_PER_100000,8.69846,4.54623,14.70165,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,694,Sierra Leone,2001,YEAR,Total,RATE_PER_100000,8.61419,4.47368,14.5407,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,694,Sierra Leone,2001,YEAR,Female,RATE_PER_100000,2.11784,1.04706,3.77515,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,694,Sierra Leone,2001,YEAR,Male,RATE_PER_100000,15.21106,7.95331,25.47283,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,222,El Salvador,2001,YEAR,Total,RATE_PER_100000,64.96535,56.48806,74.20669,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,222,El Salvador,2001,YEAR,Female,RATE_PER_100000,42.20591,34.72321,50.74186,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,222,El Salvador,2001,YEAR,Male,RATE_PER_100000,89.53815,79.98704,99.54108,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,706,Somalia,2001,YEAR,Total,RATE_PER_100000,6.66655,3.56409,11.99956,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,706,Somalia,2001,YEAR,Female,RATE_PER_100000,2.96834,1.49954,5.57925,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,706,Somalia,2001,YEAR,Male,RATE_PER_100000,10.35481,5.62309,18.40257,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,688,Serbia,2001,YEAR,Total,RATE_PER_100000,3.41474,2.57169,4.43551,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,688,Serbia,2001,YEAR,Female,RATE_PER_100000,1.98627,1.47016,2.63791,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,688,Serbia,2001,YEAR,Male,RATE_PER_100000,4.8992,3.71639,6.30355,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,728,South Sudan,2001,YEAR,Total,RATE_PER_100000,18.62125,6.49011,38.96088,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,728,South Sudan,2001,YEAR,Female,RATE_PER_100000,7.28343,2.86197,14.74524,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,728,South Sudan,2001,YEAR,Male,RATE_PER_100000,30.03921,10.14389,63.3477,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,678,Sao Tome and Principe,2001,YEAR,Total,RATE_PER_100000,7.35037,3.78368,12.91889,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,678,Sao Tome and Principe,2001,YEAR,Female,RATE_PER_100000,4.52653,2.18492,8.49197,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,678,Sao Tome and Principe,2001,YEAR,Male,RATE_PER_100000,10.24324,5.42153,17.45403,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,740,Suriname,2001,YEAR,Total,RATE_PER_100000,16.01406,10.96461,22.40874,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,740,Suriname,2001,YEAR,Female,RATE_PER_100000,6.4043,4.05528,9.59787,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,740,Suriname,2001,YEAR,Male,RATE_PER_100000,25.44009,17.74183,34.97467,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,703,Slovakia,2001,YEAR,Total,RATE_PER_100000,2.4024,1.79429,3.15087,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,703,Slovakia,2001,YEAR,Female,RATE_PER_100000,1.31763,0.94611,1.78145,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,703,Slovakia,2001,YEAR,Male,RATE_PER_100000,3.55255,2.69358,4.60282,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,705,Slovenia,2001,YEAR,Total,RATE_PER_100000,1.48768,1.20174,1.81595,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,705,Slovenia,2001,YEAR,Female,RATE_PER_100000,0.94514,0.75934,1.16112,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,705,Slovenia,2001,YEAR,Male,RATE_PER_100000,2.05436,1.66382,2.49992,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,752,Sweden,2001,YEAR,Total,RATE_PER_100000,1.08575,0.91567,1.27617,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,752,Sweden,2001,YEAR,Female,RATE_PER_100000,0.70992,0.58652,0.84863,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,752,Sweden,2001,YEAR,Male,RATE_PER_100000,1.46961,1.25186,1.71283,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,748,Eswatini,2001,YEAR,Total,RATE_PER_100000,22.90984,13.35271,36.96495,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,748,Eswatini,2001,YEAR,Female,RATE_PER_100000,8.96895,4.4613,16.22705,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,748,Eswatini,2001,YEAR,Male,RATE_PER_100000,37.99654,22.97491,59.40728,PUBLISHED
